comparison,row_label,col_label,count
metadata_consensus_vs_inspector1,AI_PRODUCT,AI_PRODUCT,11
metadata_consensus_vs_inspector1,AI_PRODUCT,CONVENTIONAL_SOFTWARE,3
metadata_consensus_vs_inspector1,AI_PRODUCT,EXCLUDE,1
metadata_consensus_vs_inspector1,CONVENTIONAL_SOFTWARE,AI_PRODUCT,3
metadata_consensus_vs_inspector1,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,14
metadata_consensus_vs_inspector1,CONVENTIONAL_SOFTWARE,EXCLUDE,3
metadata_consensus_vs_inspector1,EXCLUDE,AI_PRODUCT,0
metadata_consensus_vs_inspector1,EXCLUDE,CONVENTIONAL_SOFTWARE,5
metadata_consensus_vs_inspector1,EXCLUDE,EXCLUDE,10
metadata_consensus_vs_inspector1_target_vs_non_target,target_population,target_population,14
metadata_consensus_vs_inspector1_target_vs_non_target,target_population,non_target,6
metadata_consensus_vs_inspector1_target_vs_non_target,non_target,target_population,8
metadata_consensus_vs_inspector1_target_vs_non_target,non_target,non_target,22
metadata_consensus_vs_inspector2,AI_PRODUCT,AI_PRODUCT,12
metadata_consensus_vs_inspector2,AI_PRODUCT,CONVENTIONAL_SOFTWARE,0
metadata_consensus_vs_inspector2,AI_PRODUCT,EXCLUDE,3
metadata_consensus_vs_inspector2,CONVENTIONAL_SOFTWARE,AI_PRODUCT,12
metadata_consensus_vs_inspector2,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,7
metadata_consensus_vs_inspector2,CONVENTIONAL_SOFTWARE,EXCLUDE,1
metadata_consensus_vs_inspector2,EXCLUDE,AI_PRODUCT,5
metadata_consensus_vs_inspector2,EXCLUDE,CONVENTIONAL_SOFTWARE,6
metadata_consensus_vs_inspector2,EXCLUDE,EXCLUDE,4
metadata_consensus_vs_inspector2_target_vs_non_target,target_population,target_population,7
metadata_consensus_vs_inspector2_target_vs_non_target,target_population,non_target,13
metadata_consensus_vs_inspector2_target_vs_non_target,non_target,target_population,6
metadata_consensus_vs_inspector2_target_vs_non_target,non_target,non_target,24
inspector1_vs_inspector2,AI_PRODUCT,AI_PRODUCT,13
inspector1_vs_inspector2,AI_PRODUCT,CONVENTIONAL_SOFTWARE,0
inspector1_vs_inspector2,AI_PRODUCT,EXCLUDE,1
inspector1_vs_inspector2,CONVENTIONAL_SOFTWARE,AI_PRODUCT,11
inspector1_vs_inspector2,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,8
inspector1_vs_inspector2,CONVENTIONAL_SOFTWARE,EXCLUDE,3
inspector1_vs_inspector2,EXCLUDE,AI_PRODUCT,5
inspector1_vs_inspector2,EXCLUDE,CONVENTIONAL_SOFTWARE,5
inspector1_vs_inspector2,EXCLUDE,EXCLUDE,4
inspector1_vs_inspector2_target_vs_non_target,target_population,target_population,8
inspector1_vs_inspector2_target_vs_non_target,target_population,non_target,14
inspector1_vs_inspector2_target_vs_non_target,non_target,target_population,5
inspector1_vs_inspector2_target_vs_non_target,non_target,non_target,23
